Day_x,Artist(s)_x,Album_x,Record label(s)_x,Entering chart position_x,Month,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Entering chart position_y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Day_x,Artist(s)_x,Album_x,Record label(s)_x,Ref._x,Day_y,Artist(s)_y,Album_y,Record label(s)_y,Ref._y,Artist(s),Album,Record label(s),Ref.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,D. Savage,We Love D. Savage,Empire[64],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Dro Kenji,Love Kills,10K Projects[69],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,John Glacier,Like A Ribbon,Young[71],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,OhGeesy,Paid N Full,Atlantic[72],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,They.,Love.Jones,Drink Sum Wtr[73],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,14.0,Westside Gunn,12,Griselda Records[74],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,17,Eem Triplin,Melody of a Memory,RCA,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,21,Morray,Long Story Short,Empire,[75],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,21,Ransom & Dave East,The Final Call,"FTD, Momentum",[61],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,21,Roddy Ricch,The Navy Album,Atlantic Records,[76],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,21,Saint Jhn,Festival Season,Godd Complexx,[77],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",[78],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",[79],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,28,G-Eazy,Helium,RCA,[80],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,28,Jim Jones,At the Church Steps,Hitmaker Music Group,[69],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,28,Lisa,Alter Ego,"Lloud, RCA",[81],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,28,Reason,I Love You Again,"Do More Records, 195 Oak",[82],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,TBA,Key Glock,Glockaveli,Paper Route Empire,[83],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,February,.,Yung Bleu,What Makes Us Human,Moon Boy Music[64],.,TBA,Lil Baby,Dominique,Quality Control Music,[84],.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,March,.,.,.,.,.,.,.,.,.,.,7.0,Capo Lee & Big Zuu,Signed & Delivered,Legacy Living,[85],.,.,.,.,.,.,.,.,.,.,.,.,.,.
